,Weight,Predictor
19,0.504945051649773,betos_o1a_pmpm_ct
195,0.3968367298970883,med_ambulance_visit_ct_pmpm
426,0.24983340715425933,submcc_men_abus_pmpm_ct
16,0.22767754517459102,betos_m5b_pmpm_ct
62,0.18566915323283378,cms_partd_ra_factor_amt
67,0.10389892485999284,cms_rx_risk_score_nbr
196,0.1027865456007513,med_er_visit_ct_pmpm
314,0.08765874161224205,rx_gpi2_72_pmpm_ct
428,0.08386441385065932,submcc_men_depr_pmpm_ct
69,0.0705987105892107,cms_tot_partd_payment_amt
28,0.06107669626802336,betos_y2_pmpm_ct
508,0.06040326373780402,total_ambulance_visit_ct_pmpm
309,0.05752662924046532,rx_gpi2_66_pmpm_ct
482,0.04725387109287013,submcc_rsk_smok_pmpm_ct
477,0.045025754454872245,submcc_rsk_fh/ho_pmpm_ct
338,0.045025483789068614,rx_gpi2_97_pmpm_ct
308,0.04131469390004532,rx_gpi2_65_pmpm_ct
429,0.039439242784472986,submcc_men_othr_pmpm_ct
61,0.0376200474728228,cms_ma_risk_score_nbr
389,0.03748081011725612,submcc_dia_neu_pmpm_ct
343,0.034070876423242615,rx_otc_pmpm_ct
469,0.032810215454858196,submcc_res_copd_pmpm_ct
25,0.03276167621459371,betos_t1e_pmpm_ct
433,0.03108734332320469,submcc_mus_back_pmpm_ct
293,0.030382115154833623,rx_gpi2_49_pmpm_ct
335,0.029411653582041713,rx_gpi2_94_pmpm_ct
344,0.028863873998214898,rx_overall_pmpm_ct
288,0.028563260082608774,rx_gpi2_44_pmpm_ct
411,0.026881962192215992,submcc_hdz_othr_pmpm_ct
445,0.025799776666672797,submcc_ner_othr_pmpm_ct
244,0.024454523012686004,rx_bh_pmpm_ct
491,0.024192294422614762,submcc_sns_othr_pmpm_ct
27,0.023938330840606807,betos_t2a_pmpm_ct
66,0.023716794918187678,cms_risk_adjustment_factor_a_amt
425,0.023502927529796568,submcc_inj_othr_pmpm_ct
396,0.01996749584876862,submcc_dig_ugi_pmpm_ct
479,0.016439984050499505,submcc_rsk_obe_pmpm_ct
487,0.014575451231969561,submcc_sns_chst_pmpm_ct
399,0.013188895322233394,submcc_end_nutr_pmpm_ct
507,0.012683277967193794,submcc_vco_vac_pmpm_ct
64,0.01261126515478326,cms_risk_adj_payment_rate_a_amt
245,0.011999240632337555,rx_branded_pmpm_ct
439,0.011269705425572143,submcc_mus_soft_pmpm_ct
281,0.01051923445316262,rx_gpi2_37_pmpm_ct
431,0.009563988047196274,submcc_mus_arth_pmpm_ct
210,0.007352842347428767,med_physician_office_visit_ct_pmpm
103,0.0065399035124142696,credit_bal_nonagn1stmorg_bankruptc
133,0.00652358768190846,credit_hh_totalallcredit_severederog
122,0.0063385051698324315,credit_hh_bankcardcredit_60dpd
99,0.006213055162851112,credit_bal_mtgcredit_new
404,0.00590928939045623,submcc_gus_kub_pmpm_ct
128,0.0054108623188779854,credit_hh_nonmtgcredit_60dpd
401,0.00536200275255927,submcc_end_thy_pmpm_ct
159,0.005243376555015256,credit_num_mtg_60to89dpd
153,0.005202811944273206,credit_num_autofinance_new
151,0.0051085638251983576,credit_num_autobank_new
24,0.004711759464614237,betos_t1b_pmpm_ct
149,0.004521795001105263,credit_num_agencyfirstmtg_new
111,0.004423362825001594,credit_bal_totalallcredit_new
119,0.004226200679164683,credit_hh_autofinance
171,0.004224234252915216,credit_num_studentloan_60dpd
161,0.004157960700336729,credit_num_mtg_collections
160,0.004145218653699147,credit_num_mtg_90to119dpd
104,0.0040369851389945996,credit_bal_nonagn1stmorg_collectio
174,0.004018778504216861,credit_prcnt_agencyfirstmtg
81,0.003910465984890959,credit_bal_1stmtg_collections
97,0.0038890327458809184,credit_bal_mtg_bankruptcy
147,0.003856067002755161,credit_num_agencyfirstmtg
80,0.0037867013670144405,credit_bal_1stmtg_60to89dpd
278,0.003739154826101456,rx_gpi2_34_pmpm_ct
